кто	дата	счет	статья	сумма	примечания	остаток после					счета		
В	12.02.2016	кошелек.В	перевод	-40 000,00	отложил на аренду	2 000,00	2016.2						
В	12.02.2016	конверт.аренда	перевод	40 000,00		40 000,00	2016.2						
Л	12.02.2016	кошелек.Л	перевод	0,00	мне в кошелек Л	9 869,00	2016.2						
Л	12.02.2016	кошелек.Л	сигареты	-85,00	сигареты	9 784,00	2016.2						
Л	12.02.2016	кошелек.Л	кофе	-150,00	необходимость	9 634,00	2016.2						
Л	12.02.2016	кошелек.Л	продукты	-500,00	орехи вкуснятина	9 134,00	2016.2						
Л	12.02.2016	кошелек.Л	продукты	-259,00	пирожные люблю тебя	8 875,00	2016.2						
Л	12.02.2016	кошелек.Л	транспорт	-35,00	маршрутка	8 840,00	2016.2						
Л	12.02.2016	карта зарпл.В	еда.обед	-300,00	обед	4 742,59	2016.2						
В	11.02.2016	карта зарпл.В	продукты	-489,50		4 253,09	2016.2						
В	13.02.2016	карта зарпл.В	связь	-550,00	инет сокол	3 703,09	2016.2						
В	13.02.2016	кошелек.В	продукты	-900,00	орехи+мед	1 100,00	2016.2						
В	13.02.2016	карта зарпл.В	продукты	-136,50	сахар	3 566,59	2016.2						
В	13.02.2016	конверт.аренда	аренда	-40 000,00	за февраль	0,00	2016.2						
В	13.02.2016	кошелек.В	развлеченья	-900,00	клуб вольта	200,00	2016.2						
Л	13.02.2016	кошелек.Л	развлеченья	-400,00	виски в Вольте	8 440,00	2016.2						
Л	13.02.2016	кошелек.Л	отдал члену семьи	-450,00	Варе игрушки	7 990,00	2016.2						
Л	13.02.2016	кошелек.Л	продукты	-95,00	хлеб	7 895,00	2016.2						
Л	13.02.2016	кошелек.Л	продукты	-270,00	прокладки, вода	7 625,00	2016.2						
Л	13.02.2016	кошелек.Л	продукты	-1 270,00	магнит продукты	6 355,00	2016.2						
Л	13.02.2016	кошелек.Л	продукты	-380,00	шоколад, орехи, сигареты	5 975,00	2016.2						
Л	13.02.2016	кошелек.Л	подарки	-850,00	т.Свете цветы	5 125,00	2016.2						
Л	13.02.2016	кошелек.Л	транспорт	-70,00	маршрутка	5 055,00	2016.2						
Л	15.02.2016	кошелек.Л	кофе	-150,00	кофе	4 905,00	2016.2						
